batch_hash,layer_idx,head_idx,top1,top2,top3,top4,top5,top10,top15,top20,top30,top40,top50,top60,top70,top80,top90
0ca6ffba,3,14,0.603320300579071,0.56005859375,0.55322265625,0.559765636920929,0.564453125,0.6036018133163452,0.6574372053146362,0.7065286040306091,0.7940120697021484,0.8583125472068787,0.9070816040039062,0.9426770210266113,0.9674269556999207,0.9845002293586731,0.9957863092422485
0ca6ffba,3,15,0.27226564288139343,0.34428712725639343,0.39488935470581055,0.42521974444389343,0.451708048582077,0.5312595963478088,0.5906607508659363,0.6340906620025635,0.7275835871696472,0.8025434017181396,0.8644733428955078,0.9134469628334045,0.9515182971954346,0.9782772064208984,0.9945181608200073
0ca6ffba,3,16,0.4195312559604645,0.4786132872104645,0.5067057609558105,0.5274902582168579,0.5447878837585449,0.6024337410926819,0.6433249115943909,0.6771025061607361,0.7586140632629395,0.8264918327331543,0.8797073364257812,0.921622097492218,0.9546743631362915,0.9792656898498535,0.9947301745414734
0ca6ffba,3,17,0.3885742127895355,0.4068359434604645,0.4331705868244171,0.45402833819389343,0.4738626182079315,0.5434762239456177,0.6069431900978088,0.6675906181335449,0.7678898572921753,0.837988555431366,0.8909111022949219,0.9310950636863708,0.9609552025794983,0.9821023344993591,0.9951999187469482
0ca6ffba,3,18,0.3956054747104645,0.478515625,0.5241862535476685,0.5445556640625,0.5581150650978088,0.6213905811309814,0.6766237616539001,0.721406877040863,0.7973584532737732,0.8596878051757812,0.9066963195800781,0.9413171410560608,0.966221272945404,0.9850952625274658,0.9962453842163086
0ca6ffba,3,19,0.37617188692092896,0.40234375,0.4295247495174408,0.45329591631889343,0.4744945168495178,0.560183048248291,0.6285041570663452,0.6834070682525635,0.7720696330070496,0.8397960066795349,0.8947010040283203,0.9346609115600586,0.9641058444976807,0.9840924143791199,0.9959940910339355
0ca6ffba,3,20,0.26494142413139343,0.31499025225639343,0.35364586114883423,0.38762208819389343,0.4166475236415863,0.5195791125297546,0.5827269554138184,0.6420611143112183,0.7425882816314697,0.818469226360321,0.8782691955566406,0.9231076240539551,0.9570285081863403,0.9810482859611511,0.9950779676437378
0ca6ffba,3,21,0.5103515982627869,0.639208972454071,0.6421224474906921,0.631054699420929,0.6293275356292725,0.6662262678146362,0.7024229168891907,0.742307186126709,0.7971994280815125,0.84776371717453,0.8921184539794922,0.9283084869384766,0.9579368829727173,0.98050457239151,0.9950971007347107
0ca6ffba,3,22,0.5186523795127869,0.565185546875,0.5953450798988342,0.6213135123252869,0.640720784664154,0.6908605694770813,0.7125778794288635,0.7412875294685364,0.7990062236785889,0.850655198097229,0.8926658630371094,0.9287267923355103,0.9585233330726624,0.9808968305587769,0.9950981140136719
0ca6ffba,3,23,0.4800781309604645,0.525341808795929,0.556640625,0.579833984375,0.5921798348426819,0.6393516659736633,0.6850490570068359,0.7259353995323181,0.786838948726654,0.8407654166221619,0.8856639862060547,0.9242177605628967,0.9550167322158813,0.9794301986694336,0.9948659539222717
17111df5,4,0,0.2940429747104645,0.39716798067092896,0.4531901180744171,0.48601076006889343,0.5080997347831726,0.5688381195068359,0.6219235062599182,0.6672267913818359,0.7479736804962158,0.8181158900260925,0.8751335144042969,0.9198105335235596,0.9548189640045166,0.9788697957992554,0.994657039642334
17111df5,4,1,0.5604492425918579,0.5774902701377869,0.6202799677848816,0.6420654654502869,0.6462163329124451,0.657829761505127,0.6828086972236633,0.7193819284439087,0.7750216126441956,0.8299086093902588,0.884613037109375,0.9267673492431641,0.9579518437385559,0.9807120561599731,0.9950334429740906
17111df5,4,2,0.4039062559604645,0.455322265625,0.4939779043197632,0.513745129108429,0.5277841687202454,0.5804706811904907,0.633163571357727,0.6820571422576904,0.7697793245315552,0.8387693166732788,0.8924446105957031,0.934059739112854,0.9636789560317993,0.9831910133361816,0.9954289793968201
17111df5,4,3,0.5008789300918579,0.513232409954071,0.5430989861488342,0.5667968988418579,0.5826440453529358,0.6086856722831726,0.6446333527565002,0.6838618516921997,0.7659844160079956,0.8337217569351196,0.8888874053955078,0.9305685758590698,0.9612879753112793,0.9824088215827942,0.9955191016197205
17111df5,4,4,0.43779298663139343,0.499267578125,0.5316406488418579,0.550952136516571,0.5663488507270813,0.6024433374404907,0.6423930525779724,0.6865952610969543,0.7671391367912292,0.8334710597991943,0.8868446350097656,0.9290067553520203,0.9601859450340271,0.9822156429290771,0.9954299926757812
17111df5,4,5,0.4278320372104645,0.49443361163139343,0.5456380248069763,0.583666980266571,0.5999540686607361,0.6422334909439087,0.6740004420280457,0.7102434039115906,0.7835243940353394,0.8436378240585327,0.8936767578125,0.9330338835716248,0.962070882320404,0.982607901096344,0.9954215288162231
17111df5,4,6,0.39082032442092896,0.46757814288139343,0.5129883289337158,0.5444092154502869,0.5696614980697632,0.6367570757865906,0.6906914114952087,0.7306171655654907,0.8039494752883911,0.8614093661308289,0.9056224822998047,0.9382045269012451,0.9626505374908447,0.9822752475738525,0.9953091144561768
17111df5,4,7,0.531445324420929,0.5950683951377869,0.6400716304779053,0.6651611328125,0.6765472292900085,0.687739372253418,0.7123736143112183,0.7462182641029358,0.8104418516159058,0.8613234162330627,0.9035396575927734,0.9366649389266968,0.9630515575408936,0.9828881025314331,0.9952062964439392
17111df5,4,8,0.4427734315395355,0.4837402403354645,0.5247396230697632,0.555590808391571,0.5800398588180542,0.6420419812202454,0.6833894848823547,0.7245998382568359,0.7999001145362854,0.8596090078353882,0.9054031372070312,0.9397664070129395,0.9652637839317322,0.983777642250061,0.9954904317855835
17111df5,4,9,0.40625,0.4306640625,0.47001954913139343,0.5093994140625,0.5443665981292725,0.6608934998512268,0.7357217669487,0.7887992262840271,0.8581852912902832,0.9014484286308289,0.932373046875,0.9564204812049866,0.9747934937477112,0.9881107807159424,0.9965253472328186
17111df5,4,10,0.5380859375,0.532421886920929,0.5143229365348816,0.5057617425918579,0.5051700472831726,0.5451133847236633,0.6038922071456909,0.660252034664154,0.756056547164917,0.8292567729949951,0.8864231109619141,0.9287204742431641,0.9600182175636292,0.9822657108306885,0.9954257607460022
17111df5,4,11,0.41748046875,0.3873535096645355,0.4062500298023224,0.42695313692092896,0.4537760615348816,0.5524950623512268,0.6317721009254456,0.6937662959098816,0.7874497175216675,0.8529807925224304,0.9024314880371094,0.9390872716903687,0.965685248374939,0.9843261241912842,0.9957830905914307
17111df5,4,12,0.4888671934604645,0.627978503704071,0.7050130367279053,0.7452148795127869,0.7526041865348816,0.6922392249107361,0.6833192706108093,0.7034313678741455,0.769289493560791,0.8291565179824829,0.8826503753662109,0.9265033006668091,0.9596090316772461,0.9820558428764343,0.995370626449585
17111df5,4,13,0.6986328363418579,0.649462878704071,0.6674479246139526,0.6635498404502869,0.6535692811012268,0.6507640480995178,0.6662007570266724,0.6977156400680542,0.7715798020362854,0.8349705338478088,0.8871593475341797,0.9285264015197754,0.9603387117385864,0.9822800159454346,0.9954798817634583
17111df5,4,14,0.15380859375,0.15102539956569672,0.17591147124767303,0.20624999701976776,0.2385876327753067,0.3747989535331726,0.47854116559028625,0.5639026165008545,0.6940337419509888,0.7881361246109009,0.8580780029296875,0.9126341938972473,0.9531236290931702,0.9796114563941956,0.9948012232780457
17111df5,4,15,0.5028320550918579,0.5301758050918579,0.5903646349906921,0.6475586295127869,0.693359375,0.767673909664154,0.7825137972831726,0.7938639521598816,0.8534138202667236,0.8844695687294006,0.9135494232177734,0.9411962628364563,0.9642367959022522,0.9836453199386597,0.9954819679260254
17111df5,4,16,0.35107421875,0.39277344942092896,0.43323570489883423,0.4789794981479645,0.5168696641921997,0.6165077686309814,0.6701261401176453,0.713962972164154,0.7889924645423889,0.8461782932281494,0.8926162719726562,0.9295570254325867,0.9593689441680908,0.9816408753395081,0.9952062964439392
17111df5,4,17,0.45703125,0.49458009004592896,0.5328776240348816,0.553149402141571,0.5732996463775635,0.6407877802848816,0.6842767000198364,0.7253705263137817,0.807823896408081,0.8690212965011597,0.9139289855957031,0.9440687298774719,0.9669373035430908,0.9845204949378967,0.995665431022644
17111df5,4,18,0.6778320670127869,0.646679699420929,0.6133789420127869,0.5937744379043579,0.5827780365943909,0.5903416275978088,0.6339550018310547,0.6833257079124451,0.7747003436088562,0.8462475538253784,0.9006576538085938,0.939193844795227,0.966552734375,0.9850439429283142,0.9957777857780457
17111df5,4,19,0.7577148675918579,0.739062488079071,0.6869791746139526,0.6390137076377869,0.6058134436607361,0.5998104810714722,0.6434844732284546,0.6907600164413452,0.7793636322021484,0.8476969003677368,0.8990936279296875,0.9379262328147888,0.9657602906227112,0.9846540689468384,0.9957354068756104
17111df5,4,20,0.5947265625,0.6114258170127869,0.6011393666267395,0.5955566763877869,0.5920649766921997,0.6063495874404907,0.644282341003418,0.6869064569473267,0.7732498049736023,0.8394880294799805,0.8916873931884766,0.9327873587608337,0.9622209072113037,0.9827224016189575,0.9953409433364868
